#  aims_uuid : 9BAF59A7-5CCE-4CB6-A97F-F69893AB3B24                                
# The energy reference for this output is the chemical potential, mu =      -4.708547 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -14.73045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.72745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.72445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.72145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.71845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.71545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.71245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.70945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.70645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.70345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.70045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.69745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.69445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.69145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.68845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.68545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.68245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.67945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.67645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.67345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.67045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.66745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.66445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.66145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.65845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.65545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.65245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.64945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.64645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.64345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.64045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.63745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.63445309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.63145309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.62845309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.62545309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.62245309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.61945309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.61645309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.61345309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.61045309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -14.60745309        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
